Sidebar item,Item key,Name,Raw key,User value,Unit
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_hybrid_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_network_gas,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_buildings_space_heater_wood_pellets,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_chp_combined_cycle_network_gas_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_chp_combined_cycle_network_gas_heat,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_energy_chp_local_engine_biogas_electricity,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_energy_chp_local_engine_biogas_heat,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_chp_local_engine_network_gas_electricity,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_chp_local_engine_network_gas_heat,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_energy_chp_local_wood_pellets_electricity,,%
Costs & efficiencies,Renewable electricity,Biomass plants,efficiency_energy_chp_local_wood_pellets_heat,,%
Costs & efficiencies,Renewable electricity,Waste power,efficiency_energy_chp_supercritical_waste_mix_electricity,,%
Costs & efficiencies,Renewable electricity,Waste power,efficiency_energy_chp_supercritical_waste_mix_heat,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_chp_ultra_supercritical_coal_electricity,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_chp_ultra_supercritical_coal_heat,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_chp_ultra_supercritical_cofiring_coal_electricity,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_chp_ultra_supercritical_cofiring_coal_heat,,%
Costs & efficiencies,Flexibility,Electricity storage,efficiency_energy_flexibility_flow_batteries_electricity,,%
Costs & efficiencies,Flexibility,Electricity storage,efficiency_energy_flexibility_hv_opac_electricity,,%
Costs & efficiencies,Flexibility,Electricity storage,efficiency_energy_flexibility_mv_batteries_electricity,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_power_combined_cycle_coal,,%
Costs & efficiencies,Renewable electricity,Hydrogen plants,efficiency_energy_power_combined_cycle_hydrogen,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_power_combined_cycle_network_gas,,%
Costs & efficiencies,Electricity,Oil plants,efficiency_energy_power_engine_diesel,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_power_engine_network_gas,,%
Costs & efficiencies,Electricity,Nuclear plants,efficiency_energy_power_nuclear_gen2_uranium_oxide,,%
Costs & efficiencies,Electricity,Nuclear plants,efficiency_energy_power_nuclear_gen3_uranium_oxide,,%
Costs & efficiencies,Electricity,Nuclear plants,efficiency_energy_power_nuclear_small_modular_reactor_uranium_oxide,,%
Costs & efficiencies,Renewable electricity,Solar power,efficiency_energy_power_solar_pv_solar_radiation,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_power_supercritical_coal,,%
Costs & efficiencies,Renewable electricity,Waste power,efficiency_energy_power_supercritical_waste_mix,,%
Costs & efficiencies,Renewable electricity,Hydrogen plants,efficiency_energy_power_turbine_hydrogen,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_power_turbine_network_gas,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_power_ultra_supercritical_coal,,%
Costs & efficiencies,Electricity,Coal plants,efficiency_energy_power_ultra_supercritical_cofiring_coal,,%
Costs & efficiencies,Electricity,Oil plants,efficiency_energy_power_ultra_supercritical_crude_oil,,%
Costs & efficiencies,Electricity,Gas plants,efficiency_energy_power_ultra_supercritical_network_gas,,%
Costs & efficiencies,Flexibility,Electricity storage,efficiency_households_flexibility_p2p_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_combined_hydrogen,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_combined_network_gas,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_electricity,,%
Costs & efficiencies,Heat,Efficiencies heating built environment,efficiency_households_space_heater_heatpump_air_water_electricity,,%
