Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
69.EQ.65.4,Variable (c),Equivalent,,,,Demand,Households,Appliances,Television,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
70.EQ.65.5,Variable (c),Equivalent,,,,Demand,Households,Appliances,Vacuum cleaner,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
71.EQ.65.6,Variable (c),Equivalent,,,,Demand,Households,Appliances,Computer / Media,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
72.EQ.65.7,Variable (c),Equivalent,,,,Demand,Households,Appliances,Other,,,-15%,% change,in energy use,,,Increased number and use balances efficiency gains. Conservative
73,Static,,,,,Demand,Households,Lighting,Incandescent,,,2%,% share,,,,
74,Static,,,,,Demand,Households,Lighting,Low-energy light bulb,,,3%,% share,,,,
75,Static,,,,,Demand,Households,Lighting,LED,,,95%,% share,,,,
76,Variable (2),,,,,Demand,Households,Development of demand,Per person,Hot water,,0%,%/year,change in use,,,
77.EQ.76.1,Variable (2),,,,,Demand,Households,Development of demand,Per person,Electric appliances,,0%,%/year,change in use,,,
78.EQ.76.2,Variable (2),,,,,Demand,Households,Development of demand,Per person,Lighting,,0%,%/year,change in use,,,
79.EQ.76.3,Variable (2),,,,,Demand,Households,Development of demand,Per person,Cooking,,0%,%/year,change in use,,,
80,Variable (2),,,,,Demand,Households,Development of demand,Per residence,Cooling demand,,0%,%/year,change in use,,,
81,Variable (2),,,,,Demand,Households,Behaviour,Turn off appliances,,,0%,% change,,,,
82,Variable (2),Equivalent,,,,Demand,Households,Behaviour,Turn off the light,,,0%,% change,,,,
83,Variable (2),Equivalent,,,,Demand,Households,Behaviour,Low-temperature washing,,,0%,% change,,,,
84,Static,,,,,Demand,Households,Merit order,Capacities,Coal heater,,9.9,kW ,Heat output,,,
85,Static,,,,,Demand,Households,Merit order,Capacities,Oil heater,,10.5,kW ,Heat output,,,
86,Static,,,,,Demand,Households,Merit order,Capacities,Gas-fired heater,,22,kW ,Heat output,,,
87,Static,,,,,Demand,Households,Merit order,Capacities,Condensing combi boiler (gas),,22,kW ,Heat output,,,
88,Static,,,,,Demand,Households,Merit order,Capacities,Condensing combi boiler (hydrogen),,22,kW ,Heat output,,,
89,Static,,,,,Demand,Households,Merit order,Capacities,Wood pellet boiler,,10.1,kW ,Heat output,,,
90,Static,,,,,Demand,Households,Merit order,Capacities,Electric boiler,,6,kW ,Heat output,,,
91,Static,,,,,Demand,Households,Merit order,Capacities,Air heat pump,,10,kW ,Heat output,,,
92,Static,,,,,Demand,Households,Merit order,Capacities,Ground heat pump,,10,kW ,Heat output,,,
93,Static,,,,,Demand,Households,Merit order,Capacities,Aquathermal heat pump with TS (surface water),,10,kW ,Heat output,,,
94,Static,,,,,Demand,Households,Merit order,Capacities,Ground heat pump with PVT,,7.8,kW ,Heat output,,,
95,Static,,,,,Demand,Households,Merit order,Capacities,LT district heating,,10,kW ,Heat output,,,
96,Static,,,,,Demand,Households,Merit order,Capacities,MT district heating,,10,kW ,Heat output,,,
97,Static,,,,,Demand,Households,Merit order,Capacities,HT district heating,,10,kW ,Heat output,,,
98,Static,,,,,Demand,Households,Merit order,Capacities,Hybrid air heat pump (gas),,4.9,kW ,Heat output,,,
99,Static,,,,,Demand,Households,Merit order,Capacities,Hybrid air heat pump (hydrogen),,4.9,kW ,Heat output,,,
100,Static,,,,,Demand,Households,Merit order,Capacities,Hybrid air heat pump (crude oil),,12.2,kW ,Heat output,,,
101,Static (but check),,,,,Demand,Households,Merit order,Merit order,,,LT district heating,,,,,
102,Static,,,,,Demand,Households,Merit order,Merit order,,,Aquathermal heat pump with TS (surface water),,,,,
103,Static,,,,,Demand,Households,Merit order,Merit order,,,Air heat pump,,,,,
104,Static,,,,,Demand,Households,Merit order,Merit order,,,Ground heat pump,,,,,
105,Static,,,,,Demand,Households,Merit order,Merit order,,,Ground heat pump with PVT,,,,,
106,Static,,,,,Demand,Households,Merit order,Merit order,,,MT district heating,,,,,
107,Static,,,,,Demand,Households,Merit order,Merit order,,,Hybrid air heat pump (gas),,,,,
108,Static,,,,,Demand,Households,Merit order,Merit order,,,Hybrid air heat pump (hydrogen),,,,,
109,Static,,,,,Demand,Households,Merit order,Merit order,,,Hybrid air heat pump (oil),,,,,
110,Static,,,,,Demand,Households,Merit order,Merit order,,,HT district heating,,,,,
111,Static,,,,,Demand,Households,Merit order,Merit order,,,Electric boiler,,,,,
112,Static,,,,,Demand,Households,Merit order,Merit order,,,Condensing combi boiler (gas),,,,,
113,Static,,,,,Demand,Households,Merit order,Merit order,,,Condensing combi boiler (hydrogen),,,,,
114,Static,,,,,Demand,Households,Merit order,Merit order,,,Wood pellet boiler,,,,,
115,Static,,,,,Demand,Households,Merit order,Merit order,,,Gas-fired heater,,,,,
116,Static,,,,,Demand,Households,Merit order,Merit order,,,Coal-fired heater,,,,,
117,Static,,,,,Demand,Households,Merit order,Merit order,,,Oil-fired heater,,,,,
118,Variable (2),,,,,Demand,Buildings,Building stock,New buildings,,,"5,036,070.00",number,,,,
119.COM.118,Variable (2),,,,,Demand,Buildings,Building stock,Existing buildings,,,"836,684.00",number,,,,
120,Variable (2),,,,,Demand,Buildings,Heat demand & insulation,New buildings,,,106.4,kWh/m2,,,,
121,Variable (2),,,,,Demand,Buildings,Heat demand & insulation,Present buildings,,,106.4,kWh/m2,,,,
122,Static,,,,,Demand,Buildings,Space heating,Hot water,Solar thermal collectors,,0%,% of potential roof surface,,,,
123,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Condensing combi boiler (gas),,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
124,Static,,,,,Demand,Buildings,Space heating,Space heating,Condensing combi boiler (hydrogen),,0%,% of buildings,,,,Low TRL
125,Static,,,,,Demand,Buildings,Space heating,Space heating,HT district heating,,0%,% of buildings,,,,Not modelled
126,Static,,,,,Demand,Buildings,Space heating,Space heating,MT district heating,,0%,% of buildings,,,,Not modelled
127,Static,,,,,Demand,Buildings,Space heating,Space heating,LT district heating,,0%,% of buildings,,,,Not modelled
128,Static,,,,,Demand,Buildings,Space heating,Space heating,Air heat pump (gas),,0%,% of buildings,,,,Hybrid already modelled below
129.COM.130,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Air heat pump,,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
130,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (gas),,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
131,Static,,,,,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (hydrogen),,0%,% of buildings,,,,Low TRL
132,Static,,,,,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (oil),,0%,% of buildings,,,,Oil banned
133.COM.SYN.35,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Ground heat pump with TS,,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
134,Static,,,,,Demand,Buildings,Space heating,Space heating,Aquathermal heat pump with TS (surface water),,0%,% of buildings,,,,Unknown
135.COM.136,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Electric boiler,,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
136,Variable (2),,,,,Demand,Buildings,Space heating,Space heating,Biomass-fired boiler,,ETM Change Var,% of buildings,,0%,100%,Equal to residential %
137,Static,,,,,Demand,Buildings,Space heating,Space heating,Oil-fired heater,,0%,% of buildings,,,,Banned
138,Static,,,,,Demand,Buildings,Space heating,Space heating,Coal-fired heater,,0%,% of buildings,,,,Banned
139.EQ.130,Variable (2),Equivalent,,,,Demand,Buildings,Cooling,Air heat pump (gas),,,ETM Change Var,% share,,0%,100%,Mirrors heating technology
140.EQ.129.COM.130,Variable (2),Equivalent,,,,Demand,Buildings,Cooling,Air heat pump,,,ETM Change Var,% share,,0%,100%,Mirrors heating technology
141.EQ.133.COM.SYN.35,Variable (2),Equivalent,,,,Demand,Buildings,Cooling,Ground heat pump with TS,,,ETM Change Var,% share,,0%,100%,Mirrors heating technology
142,Static,,,,,Demand,Buildings,Cooling,Aquathermal heat pump with TS (surface water),,,0%,% share,,,,
143,Variable (2),,Complementary,,,Demand,Buildings,Cooling,Airconditioning,,,ETM Change Var,% share,,0%,100%,Mirrors heating technology & accounts for remainder
144,Variable (2),,,,,Demand,Buildings,Appliances,Appliances efficiency,,,0%,%/year,,,,
145,Static,,,,,Demand,Buildings,Lighting,Fluorescent tube,,,2%,% share,,,,Projections
146,Static,,,,,Demand,Buildings,Lighting,High-performance fluorescent tube,,,11%,% share,,,,Projections
147,Static,,,,,Demand,Buildings,Lighting,LED-tube,,,87%,% share,,,,Projections
148,Variable (2),Equivalent,,,,Demand,Buildings,Lighting,Intelligent control,Motion detection,,50%,% of potential,,,,Partial adoption
149.EQ.148,Variable (2),Equivalent ,,,,Demand,Buildings,Lighting,Intelligent control,Daylight-dependent control,,50%,% of potential,,,,Partial adoption
150,Variable (c),,,,,Demand,Buildings,Development of demand,Electricity per building,,,0%,%/year,,,,Efficiency gains outweigh wealth gains
151,Variable (c),,,,,Demand,Buildings,Development of demand,Cooling per building,,,0%,%/year,,,,UK Govt 2050 projections
152,Variable (c),,,,,Demand,Transport,Passenger transport,Applications,Passenger transport,,1.40%,%/year,growth rate,,,UKRI Innovate UK projection
153,Variable (c),,,,,Demand,Transport,Passenger transport,Applications,Cars,,InVar,% share,of transport demand for each mode,50.00%,93.90%,assess impact of changing transport patterns on grid load. UK 2020 ETM default: 84.9% cars
154,Variable (c),,,,,Demand,Transport,Passenger transport,Applications,Trains,,ETM Change Var,% share,,5%,43.90%,UK ETM default: 9.0% trains
155,Variable (2),,,,,Demand,Transport,Passenger transport,Applications,Trams/metros,,0.70%,% share,,,,
156.SYNCOM.155,Variable (2),,,,,Demand,Transport,Passenger transport,Applications,Buses,,3.40%,% share,,,,
157,Variable (2),,,,,Demand,Transport,Passenger transport,Applications,Motorcycles,,0.80%,% share,,,,
158.COM.157,Variable (2),,,,,Demand,Transport,Passenger transport,Applications,Bicycles,,0.00%,% share,,,,
159.COM.154,Variable (2),,,,,Demand,Transport,Passenger transport,Applications,Domestic planes,,1.20%,% share,,,,
160,Variable (c),,,,,Demand,Transport,Passenger transport,Car technology,Electric,,InVar,,,5%,100%,4.35% of cars in UK as of March 2025 were fully electric. Hybrid miles driven electric must be added on (https://www.zap-map.com/ev-stats/ev-market)
161,Static,,,,,Demand,Transport,Passenger transport,Car technology,Hydrogen,,0%,,,,,
162,Static,,,,,Demand,Transport,Passenger transport,Car technology,Diesel,,0%,,,,,
163.COM.160,Variable (c),,Complementary,,,Demand,Transport,Passenger transport,Car technology,Gasoline,,InVar,,,0%,95%,
164,Static,,,,,Demand,Transport,Passenger transport,Car technology,LPG,,0%,,,,,
165,Static,,,,,Demand,Transport,Passenger transport,Car technology,Compressed gas,,0%,,,,,
166,Variable (2),,,,,Demand,Transport,Passenger transport,Train technology,Electric,,75%,,,,,
167,Static,,,,,Demand,Transport,Passenger transport,Train technology,Hydrogen,,0%,,,,,
168.COM.166,Variable (2),,,,,Demand,Transport,Passenger transport,Train technology,Diesel ,,25%,,,,,
169,Static,,,,,Demand,Transport,Passenger transport,Train technology,Coal,,0%,,,,,
170,Variable (2),,,,,Demand,Transport,Passenger transport,Bus technology ,Electric,,ETM Change Var,,,5%,100%,Equal to car electric %
171,Static,,,,,Demand,Transport,Passenger transport,Bus technology ,Hydrogen,,0%,,,,,
172.COM.170,Variable (2),,,,,Demand,Transport,Passenger transport,Bus technology ,Diesel,,ETM Change Var,,,0%,95%,Equal to car petrol %
173,Static,,,,,Demand,Transport,Passenger transport,Bus technology ,Gasoline,,0%,,,,,
174,Static,,,,,Demand,Transport,Passenger transport,Bus technology ,LNG,,0%,,,,,
175,Static,,,,,Demand,Transport,Passenger transport,Bus technology ,Compressed gas,,0%,,,,,
176.COM.177,Variable (2),Equivalent,,,,Demand,Transport,Passenger transport,Motorcycle technology,Gasoline,,ETM Change Var,,,5%,100%,Equal to car electric %
177,Variable (2),Equivalent,,,,Demand,Transport,Passenger transport,Motorcycle technology,Electric,,ETM Change Var,,,0%,95%,Equal to car petrol %
178.COM.179,Variable (2),,,,,Demand,Transport,Passenger transport,Bicycle technology,Bike,,75%,,,,,
179,Variable (2),,,,,Demand,Transport,Passenger transport,Bicycle technology,E-bike,,25%,,,,,
180,Static,,,,,Demand,Transport,Passenger transport,Domestic aviation technology,Kerosene,,100%,,,,,
181,Static,,,,,Demand,Transport,Passenger transport,Domestic aviation technology,Gasoline,,0%,,,,,
182,Static,,,,,Demand,Transport,Passenger transport,Domestic aviation technology,Bio-ethanol,,0%,,,,,
183,Static,,,,,Demand,Transport,Passenger transport,Domestic aviation technology,Hydrogen,,0%,,,,,
184,Static,,,,,Demand,Transport,Passenger transport,Domestic aviation technology,Electric,,0%,,,,,
185,Variable (c),,,,,Demand,Transport,Freight transport,Freight transport,,,1,%/year,growth rate,,,
186,Variable (c),,,,,Demand,Transport,Freight transport,Trucks,,,52.5,% share,,,,
187.COM.SYN.56,Variable (c),,,,,Demand,Transport,Freight transport,Trains,,,18,% share,,,,
188.COM.186,Variable (c),,,,,Demand,Transport,Freight transport,Vans,,,17.5,% share,,,,
189.COM.SYN.55,Variable (c),,,,,Demand,Transport,Freight transport,Domestic navigation,,,12,% share,,,,
