Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
126,Demand,Buildings,Space heating,Space heating,MT district heating,,buildings_space_heater_district_heating_mt_steam_hot_water_share,
127,Demand,Buildings,Space heating,Space heating,LT district heating,,buildings_space_heater_district_heating_lt_steam_hot_water_share,
128,Demand,Buildings,Space heating,Space heating,Air heat pump (gas),,buildings_space_heater_heatpump_air_water_network_gas_share,
129,Demand,Buildings,Space heating,Space heating,Air heat pump,,buildings_space_heater_heatpump_air_water_electricity_share,
130,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (gas),,buildings_space_heater_hybrid_heatpump_air_water_electricity_share,
131,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (hydrogen),,buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,
132,Demand,Buildings,Space heating,Space heating,Hybrid air heat pump (oil),,buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity_share,
133,Demand,Buildings,Space heating,Space heating,Ground heat pump with TS,,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,
134,Demand,Buildings,Space heating,Space heating,Aquathermal heat pump with TS (surface water),,buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,
135,Demand,Buildings,Space heating,Space heating,Electric boiler,,buildings_space_heater_electricity_share,
136,Demand,Buildings,Space heating,Space heating,Biomass-fired boiler,,buildings_space_heater_wood_pellets_share,
137,Demand,Buildings,Space heating,Space heating,Oil-fired heater,,buildings_space_heater_crude_oil_share,
138,Demand,Buildings,Space heating,Space heating,Coal-fired heater,,buildings_space_heater_coal_share,
139,Demand,Buildings,Cooling,Air heat pump (gas),,,buildings_cooling_heatpump_air_water_network_gas_share,
140,Demand,Buildings,Cooling,Air heat pump,,,buildings_cooling_heatpump_air_water_electricity_share,
141,Demand,Buildings,Cooling,Ground heat pump with TS,,,buildings_cooling_collective_heatpump_water_water_ts_electricity_share,
142,Demand,Buildings,Cooling,Aquathermal heat pump with TS (surface water),,,buildings_cooling_heatpump_surface_water_water_ts_electricity_share,
143,Demand,Buildings,Cooling,Airconditioning,,,buildings_cooling_airconditioning_share,
144,Demand,Buildings,Appliances,Appliances efficiency,,,,
145,Demand,Buildings,Lighting,Fluorescent tube,,,buildings_lighting_standard_fluorescent_electricity_share,
146,Demand,Buildings,Lighting,High-performance fluorescent tube,,,buildings_lighting_efficient_fluorescent_electricity_share,
147,Demand,Buildings,Lighting,LED-tube,,,buildings_lighting_led_electricity_share,
