Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
534,Supply,Transport fuels,Road transport,Composition LNG,Bio-LNG,,transport_road_mixer_lng_bio_lng_share,
535,Supply,Transport fuels,Rail transport,Diesel,,,transport_rail_mixer_diesel_diesel_share,
536,Supply,Transport fuels,Rail transport,Biodiesel,,,transport_rail_mixer_diesel_biodiesel_share,
537,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Diesel,,transport_shipping_mixer_diesel_diesel_share,
538,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Biodiesel,,transport_shipping_mixer_diesel_biodiesel_share,
539,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),LNG,,transport_shipping_mixer_diesel_lng_share,
540,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Bio-LNG,,transport_shipping_mixer_diesel_bio_lng_share,
541,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Bio-ethanol,,transport_shipping_mixer_diesel_bio_ethanol_share,
542,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Heavy fuel oil,,transport_shipping_mixer_diesel_heavy_fuel_oil_share,
543,Supply,Transport fuels,Domestic navigation,Fuel mix LNG ships,LNG,,transport_shipping_mixer_lng_lng_share,
544,Supply,Transport fuels,Domestic navigation,Fuel mix LNG ships,Bio-LNG,,transport_shipping_mixer_lng_bio_lng_share,
545,Supply,Transport fuels,International aviation,Kerosene,,,bunkers_plane_using_kerosene_share,
546,Supply,Transport fuels,International aviation,Bio-kerosene,,,bunkers_plane_using_bio_kerosene_share,
547,Supply,Transport fuels,Biomass,Potential of biomass,Wet biomass,,max_demand_of_wet_biomass,
548,Supply,Transport fuels,Biomass,Potential of biomass,Dry biomass,,max_demand_of_dry_biomass,
549,Supply,Transport fuels,Biomass,Potential of biomass,Oil-containing biomass,,max_demand_of_oily_biomass,
550,Supply,Transport fuels,Biomass,Potential of biomass,Biogenic waste,,max_demand_of_biogenic_waste,
551,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Natural gas,energy_treatment_natural_gas_share,
552,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Green gas,green_gas_total_share,
553,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Propane,propane_gas_total_share,
554,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of natural gas,Natural gas,natural_gas_total_share,
555,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of natural gas,Regasified LNG,energy_regasification_lng_share,
556,Supply,Transport fuels,Biomass,Green gas production,Anaerobic digestion,,energy_biogas_fermentation_share,
557,Supply,Transport fuels,Biomass,Green gas production,Dry biomass gasification,,energy_greengas_gasification_dry_biomass_share,
558,Supply,Transport fuels,Biomass,Green gas production,Wet biomass gasification (SCW),,energy_greengas_gasification_wet_biomass_share,
559,Supply,Transport fuels,Biomass,Wood pellets in steel production,Wood pellets in cyclone furnace,,industry_steel_cyclonefurnace_bof_wood_pellets_share,
560,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Coal plant,Coal,,
561,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Coal plant,Biocoal,co_firing_biocoal_share,
562,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Gas from gas network,energy_mixer_for_gas_power_fuel_natural_gas_share,
563,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Bio-oil,energy_mixer_for_gas_power_fuel_bio_oil_share,
564,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Oil,energy_mixer_for_gas_power_fuel_crude_oil_share,
565,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Gas,climate_relevant_co2_biomass_gas_present,
566,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Liquid,climate_relevant_co2_biomass_liquid_present,
567,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Solid,climate_relevant_co2_biomass_solid_present,
568,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Gas,climate_relevant_co2_biomass_gas_future,
569,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Liquid,climate_relevant_co2_biomass_liquid_future,
570,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Solid,climate_relevant_co2_biomass_solid_future,
571,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Diesel,households_diesel_in_crude_oil_share,
572,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Biodiesel,households_biodiesel_in_crude_oil_share,
573,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Kerosene,households_kerosene_in_crude_oil_share,
574,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Bio kerosene,households_bio_kerosene_in_crude_oil_share,
575,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,LPG,households_lpg_in_crude_oil_share,
576,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Other oil,households_other_oil_in_crude_oil_share,
577,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Other bio oil,households_other_bio_oil_in_crude_oil_share,
578,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Diesel,buildings_diesel_in_crude_oil_share,
579,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Biodiesel,buildings_biodiesel_in_crude_oil_share,
580,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Kerosene,buildings_kerosene_in_crude_oil_share,
581,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Bio kerosene,buildings_bio_kerosene_in_crude_oil_share,
582,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,LPG,buildings_lpg_in_crude_oil_share,
583,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Other oil,buildings_other_oil_in_crude_oil_share,
584,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Other bio oil,buildings_other_bio_oil_in_crude_oil_share,
585,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Diesel,industry_diesel_in_crude_oil_share,
586,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Biodiesel,industry_biodiesel_in_crude_oil_share,
587,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Kerosene,industry_kerosene_in_crude_oil_share,
588,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Bio kerosene,industry_bio_kerosene_in_crude_oil_share,
589,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,LPG,industry_lpg_in_crude_oil_share,
590,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Other oil,industry_other_oil_in_crude_oil_share,
591,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Other bio oil,industry_other_bio_oil_in_crude_oil_share,
592,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Diesel,agriculture_diesel_in_crude_oil_share,
593,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Biodiesel,agriculture_biodiesel_in_crude_oil_share,
594,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Kerosene,agriculture_kerosene_in_crude_oil_share,
595,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Bio kerosene,agriculture_bio_kerosene_in_crude_oil_share,
596,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,LPG,agriculture_lpg_in_crude_oil_share,
597,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Other oil,agriculture_other_oil_in_crude_oil_share,
598,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Other bio oil,agriculture_other_bio_oil_in_crude_oil_share,
599,Supply,Transport fuels,Fuel production,Coal,,,fuel_production_coal,
600,Supply,Transport fuels,Fuel production,Oil,,,fuel_production_crude_oil,
601,Supply,Transport fuels,Fuel production,Natural gas,,,fuel_production_natural_gas,
602,Supply,Transport fuels,Fuel production,Uranium oxide,,,fuel_production_uranium_oxide,
603,Flexibility,Electricity storage,Batteries in households,Technical specifications,Market penetration,,households_flexibility_p2p_electricity_market_penetration,
604,Flexibility,Electricity storage,Batteries in households,Technical specifications,Relative storage volume,,volume_of_households_flexibility_p2p_electricity,
605,Flexibility,Electricity storage,Batteries in households,Price-sensitive behaviour,Willingness to pay ,,wtp_of_households_flexibility_p2p_electricity,
606,Flexibility,Electricity storage,Batteries in households,Price-sensitive behaviour,Willingness to accept,,wta_of_households_flexibility_p2p_electricity,
607,Flexibility,Electricity storage,Batteries in households,Forecasting algorithm,,,settings_enable_storage_optimisation_households_flexibility_p2p_electricity,
608,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Deployable capacity,,transport_car_using_electricity_availability,
609,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Relative storage volume,,volume_of_transport_car_using_electricity,
610,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Deployable capacity,,transport_bus_using_electricity_availability,
611,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Relative storage volume,,volume_of_transport_bus_using_electricity,
612,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Deployable capacity,,transport_truck_using_electricity_availability,
613,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Relative storage volume,,volume_of_transport_truck_using_electricity,
614,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Deployable capacity,,transport_van_using_electricity_availability,
615,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Relative storage volume,,volume_of_transport_van_using_electricity,
616,Flexibility,Electricity storage,Batteries in electric vehicles,Price-sensitive behaviour,Willingness to pay ,,wtp_of_transport_car_flexibility_p2p_electricity,
617,Flexibility,Electricity storage,Batteries in electric vehicles,Price-sensitive behaviour,Willingness to accept,,wta_of_transport_car_flexibility_p2p_electricity,
618,Flexibility,Electricity storage,Batteries in electric vehicles,Forecasting algorithm,,,settings_enable_storage_optimisation_transport_car_flexibility_p2p_electricity,
619,Flexibility,Large-scale batteries,Technical specifications,Installed capacity,,,capacity_of_energy_flexibility_mv_batteries_electricity,
620,Flexibility,Large-scale batteries,Technical specifications,Relative storage volume,,,volume_of_energy_flexibility_mv_batteries_electricity,
621,Flexibility,Large-scale batteries,Price-sensitive behaviour,Willingness to pay ,,,wtp_of_energy_flexibility_mv_batteries_electricity,
622,Flexibility,Large-scale batteries,Price-sensitive behaviour,Willingness to accept,,,wta_of_energy_flexibility_mv_batteries_electricity,
623,Flexibility,Large-scale batteries,Forecasting algorithm,,,,settings_enable_storage_optimisation_energy_flexibility_mv_batteries_electricity,
624,Flexibility,Reservoirs,Technical specifications,Installed capacity,,,capacity_of_energy_flexibility_pumped_storage_electricity,
625,Flexibility,Reservoirs,Technical specifications,Relative storage volume,,,volume_of_energy_flexibility_pumped_storage_electricity,
626,Flexibility,Reservoirs,Price-sensitive behaviour,Willingness to pay ,,,wtp_of_energy_flexibility_pumped_storage_electricity,
627,Flexibility,Reservoirs,Price-sensitive behaviour,Willingness to accept,,,wta_of_energy_flexibility_pumped_storage_electricity,
628,Flexibility,Reservoirs,Forecasting algorithm,,,,settings_enable_storage_optimisation_energy_flexibility_pumped_storage_electricity,
629,Flexibility,Underground pumped hydro storage,Technical specifications,Installed capacity,,,capacity_of_energy_flexibility_hv_opac_electricity,
630,Flexibility,Underground pumped hydro storage,Technical specifications,Relative storage volume,,,volume_of_energy_flexibility_hv_opac_electricity,
631,Flexibility,Underground pumped hydro storage,Price-sensitive behaviour,Willingness to pay ,,,wtp_of_energy_flexibility_hv_opac_electricity,
632,Flexibility,Underground pumped hydro storage,Price-sensitive behaviour,Willingness to accept,,,wta_of_energy_flexibility_hv_opac_electricity,
633,Flexibility,Underground pumped hydro storage,Forecasting algorithm,,,,settings_enable_storage_optimisation_energy_flexibility_hv_opac_electricity,
634,Flexibility,Flow batteries,Technical specifications,Installed capacity,,,capacity_of_energy_flexibility_flow_batteries_electricity,
635,Flexibility,Flow batteries,Technical specifications,Relative storage volume,,,volume_of_energy_flexibility_flow_batteries_electricity,
636,Flexibility,Flow batteries,Price-sensitive behaviour,Willingness to pay ,,,wtp_of_energy_flexibility_flow_batteries_electricity,
637,Flexibility,Flow batteries,Price-sensitive behaviour,Willingness to accept,,,wta_of_energy_flexibility_flow_batteries_electricity,
638,Flexibility,Flow batteries,Forecasting algorithm,,,,settings_enable_storage_optimisation_energy_flexibility_flow_batteries_electricity,
639,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative grid connection capacity,,,connection_capacity_always_on_wind_turbine_inland,
640,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative battery capacity,,,battery_capacity_always_on_wind_turbine_inland,
641,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative storage volume,,,volume_of_energy_flexibility_wind_batteries_electricity,
642,Flexibility,Solar plants with storage systems,Solar PV plants,Relative grid connection capacity,,,connection_capacity_always_on_solar_pv_solar_radiation,
643,Flexibility,Solar plants with storage systems,Solar PV plants,Relative battery capacity,,,battery_capacity_always_on_solar_pv_solar_radiation,
644,Flexibility,Solar plants with storage systems,Solar PV plants,Relative storage volume,,,volume_of_energy_flexibility_solar_batteries_electricity,
645,Flexibility,Merit order,Solar PV plants,,,,,
646,Flexibility,Merit order,Solar PV plants,,,,,
647,Flexibility,Merit order,Solar PV plants,,,,,
648,Flexibility,Merit order,Solar PV plants,,,,,
649,Flexibility,Merit order,Solar PV plants,,,,,
650,Flexibility,Merit order,Solar PV plants,,,,,
651,Flexibility,Merit order,Solar PV plants,,,,,
652,Flexibility,Merit order,Solar PV plants,,,,,
653,Flexibility,Merit order,Solar PV plants,,,,,
654,Flexibility,Electricity conversion,Conversion to hydrogen,Capacity,Power-to-gas,,capacity_of_energy_hydrogen_flexibility_p2g_electricity,
655,Flexibility,Electricity conversion,Conversion to hydrogen,Willingness to pay,Power-to-gas,,wtp_of_energy_hydrogen_flexibility_p2g_electricity,
656,Flexibility,Electricity conversion,Conversion to heat for district heating,Capacity,Power-to-heat boiler,,capacity_of_energy_heat_flexibility_p2h_boiler_electricity,
657,Flexibility,Electricity conversion,Conversion to heat for district heating,Capacity,Power-to-heat heat pump,,capacity_of_energy_heat_flexibility_p2h_heatpump_electricity,
658,Flexibility,Electricity conversion,Conversion to heat for district heating,Willingness to pay,Power-to-heat boiler,,wtp_of_energy_heat_flexibility_p2h_boiler_electricity,
659,Flexibility,Electricity conversion,Conversion to heat for district heating,Willingness to pay,Power-to-heat heat pump,,wtp_of_energy_heat_flexibility_p2h_heatpump_electricity,
660,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat for refineries,,wtp_of_industry_chemicals_refineries_flexibility_p2h_electricity,
661,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat for fertiliser industry,,wtp_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,
662,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for chemical industry,,wtp_of_industry_chemicals_other_flexibility_p2h_electricity,
663,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for food industry,,wtp_of_industry_other_food_flexibility_p2h_electricity,
664,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for paper industry,,wtp_of_industry_other_paper_flexibility_p2h_electricity,
665,Flexibility,Electricity conversion,Conversion to heat for agriculture,Willingness to pay,Power-to-heat boiler for agriculture,,wtp_of_agriculture_flexibility_p2h_electricity,
666,Flexibility,Electricity conversion,Conversion to kerosene,Willingness to pay ,Dispatchable synthetic kerosene for industry,,wtp_of_energy_production_synthetic_kerosene_dispatchable,
667,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV households,,curtailment_of_households_solar_pv_solar_radiation,
668,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV buildings,,curtailment_of_buildings_solar_pv_solar_radiation,
669,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants,,curtailment_of_energy_power_solar_pv_solar_radiation,
670,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants offshore,,curtailment_of_energy_power_solar_pv_offshore,
671,Flexibility,Net load,Hybrid offshore wind - components,Relative capacity,Offshore electrolyser,,relative_capacity_of_electrolyser,
672,Flexibility,Net load,Hybrid offshore wind - components,Relative capacity,Offshore electricity cable,,relative_capacity_of_offshore_cable,
673,Flexibility,Net load,Hybrid offshore wind - components,Willingness to pay,Offshore electrolyser,,wtp_of_energy_hydrogen_hybrid_electrolysis_wind_electricity,
674,Flexibility,Net load,Demand response - load shifting in industry,Load shifting metal industry,Load reduction capacity,,capacity_of_industry_metal_flexibility_load_shifting_electricity,
675,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,input_capacity_of_industry_metal_flexibility_load_shifting_electricity,
676,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,wta_of_industry_metal_flexibility_load_shifting_electricity,
677,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,deficit_limit_of_industry_metal_flexibility_load_shifting_electricity,
678,Flexibility,Net load,Demand response - load shifting in industry,Load shifting chemical industry,Load reduction capacity,,capacity_of_industry_chemical_flexibility_load_shifting_electricity,
679,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,input_capacity_of_industry_chemical_flexibility_load_shifting_electricity,
680,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,wta_of_industry_chemical_flexibility_load_shifting_electricity,
681,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,deficit_limit_of_industry_chemical_flexibility_load_shifting_electricity,
682,Flexibility,Net load,Demand response - load shifting in industry,Load shifting other industry,Load reduction capacity,,capacity_of_industry_other_flexibility_load_shifting_electricity,
683,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,input_capacity_of_industry_other_flexibility_load_shifting_electricity,
684,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,wta_of_industry_other_flexibility_load_shifting_electricity,
685,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,deficit_limit_of_industry_other_flexibility_load_shifting_electricity,
686,Flexibility,Net load,Demand response - load shifting in industry,Load shifting ICT,Load reduction capacity,,capacity_of_industry_other_ict_flexibility_load_shifting_electricity,
687,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,input_capacity_of_industry_other_ict_flexibility_load_shifting_electricity,
688,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,wta_of_industry_other_ict_flexibility_load_shifting_electricity,
689,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,deficit_limit_of_industry_other_ict_flexibility_load_shifting_electricity,
690,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Public charging,,transport_car_using_electricity_public_charging_share,
691,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at home,,transport_car_using_electricity_home_charging_share,
692,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Fast charging,,transport_car_using_electricity_fast_charging_share,
693,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at work,,transport_car_using_electricity_work_charging_share,
694,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Custom profile,,transport_car_using_electricity_custom_profile_charging_share,
695,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,Threshold COP for hybrid heat pumps,Space heating (gas),,flexibility_heat_pump_space_heating_cop_cutoff_gas,
696,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Space heating (oil),,flexibility_heat_pump_space_heating_cop_cutoff_crude_oil,
697,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Hot water,,flexibility_heat_pump_water_heating_cop_cutoff,
698,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,Consumer prices incl. taxes,Gas price,,households_flexibility_consumer_gas_price,
699,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Electricity price,,households_flexibility_consumer_electricity_price,
700,Flexibility,Import/Export,Interconnector 1,Interconnector capacity,,,electricity_interconnector_1_capacity,
701,Flexibility,Import/Export,Interconnector 1,Availability for import,,,electricity_interconnector_1_import_availability,
702,Flexibility,Import/Export,Interconnector 1,Availability for export,,,electricity_interconnector_1_export_availability,
703,Flexibility,Import/Export,Interconnector 1,CO2 emissions,Present import,,electricity_interconnector_1_co2_emissions_present,
704,Flexibility,Import/Export,Interconnector 1,CO2 emissions,Future import,,electricity_interconnector_1_co2_emissions_future,
705,Flexibility,Import/Export,Interconnector 1,Costs,Cost of electricity in external market,,electricity_interconnector_1_marginal_costs,
706,Flexibility,Import/Export,Interconnector 2 to 12,Interconnector capacity,,,electricity_interconnector_1_capacity,A
707,Flexibility,Import/Export,Interconnector 2 to 12,Availability for import,,,electricity_interconnector_1_import_availability,A
708,Flexibility,Import/Export,Interconnector 2 to 12,Availability for export,,,electricity_interconnector_1_export_availability,A
709,Flexibility,Import/Export,Interconnector 2 to 12,CO2 emissions,Present import,,electricity_interconnector_1_co2_emissions_present,A
710,Flexibility,Import/Export,Interconnector 2 to 12,CO2 emissions,Future import,,electricity_interconnector_1_co2_emissions_future,A
711,Flexibility,Import/Export,Interconnector 2 to 12,Costs,Cost of electricity in external market,,electricity_interconnector_1_marginal_costs,A
712,Flexibility,Weather conditions,Temperature,Outdoor temperature,,,flexibility_outdoor_temperature,
713,Flexibility,Weather conditions,Full load hours,Onshore inland,,,flh_of_energy_power_wind_turbine_inland,
714,Flexibility,Weather conditions,Full load hours,Onshore coastal,,,flh_of_energy_power_wind_turbine_coastal,
715,Flexibility,Weather conditions,Full load hours,Offshore,,,flh_of_energy_power_wind_turbine_offshore,
716,Flexibility,Weather conditions,Full load hours,Offshore wind turbine for H2,,,flh_of_energy_hydrogen_wind_turbine_offshore,
717,Flexibility,Weather conditions,Full load hours,Solar PV,,,flh_of_solar_pv_solar_radiation,
718,Emissions,Greenhouse gases,Built Environment,Non-energetic emissions (other greenhouse gases),Households,,change_in_energetic_emissions_other_ghg_households,
719,Emissions,Greenhouse gases,Built Environment,Non-energetic emissions (other greenhouse gases),Buildings,,change_in_energetic_emissions_other_ghg_buildings,
720,Emissions,Greenhouse gases,Transport,Non-energetic emissions (other greenhouse gases),Transport,,change_in_energetic_emissions_other_ghg_transport,
721,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Chemical industry,,change_in_non_energetic_emissions_co2_chemical_industry,
722,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Waste management,,change_in_non_energetic_emissions_co2_waste_management,
723,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Other industry,,change_in_non_energetic_emissions_co2_other_industry,
724,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Chemical industry,,change_in_non_energetic_emissions_other_ghg_chemical_industry,
725,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Waste management,,change_in_non_energetic_emissions_other_ghg_waste_management,
726,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Other industry,,change_in_non_energetic_emissions_other_ghg_other_industry,
727,Emissions,Greenhouse gases,Industry and Energy,Energetic emissions (other greenhouse gases),Industry,,change_in_energetic_emissions_other_ghg_industry,
728,Emissions,Greenhouse gases,Industry and Energy,Energetic emissions (other greenhouse gases),Energy sector,,change_in_energetic_emissions_other_ghg_energy,
729,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (CO2),Manure,,change_in_non_energetic_emissions_co2_agriculture_manure,
730,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (CO2),Soil cultivation,,change_in_non_energetic_emissions_co2_agriculture_soil_cultivation,
731,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Manure,,change_in_non_energetic_emissions_other_ghg_agriculture_manure,
732,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Soil cultivation,,change_in_non_energetic_emissions_other_ghg_agriculture_soil_cultivation,
733,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Fermentation,,change_in_non_energetic_emissions_other_ghg_agriculture_fermentation,
734,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Other activities,,change_in_non_energetic_emissions_other_ghg_agriculture_other,
735,Emissions,Greenhouse gases,Agriculture,Energetic emissions (other greenhouse gases),Agriculture,,change_in_energetic_emissions_other_ghg_agriculture,
736,Emissions,Greenhouse gases,Indirect emissions,Indirect emissions,,,change_in_indirect_emissions_co2,
737,Emissions,Greenhouse gases,Delayed emissions,Delayed emitted,,,share_of_molecules_other_utilisation_delayed_emitted_co2,
738,Emissions,Greenhouse gases,Delayed emissions,Indefinitely delayed,,,share_of_molecules_other_utilisation_delayed_indefinitely_co2,
739,Emissions,CCUS,Capture of CO2 in energy sector,Direct air capture,Direct air capture (DAC),,demand_of_molecules_direct_air_capture_co2,
740,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Pulverised coal + CCS,,share_of_energy_power_ultra_supercritical_ccs_coal,
741,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Coal IGCC + CCS,,share_of_energy_power_combined_cycle_ccs_coal,
742,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Gas CCGT + CCS,,share_of_energy_power_combined_cycle_ccs_network_gas,
743,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste CHP + CCS (HT),,share_of_energy_chp_supercritical_ccs_ht_waste_mix,
744,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste CHP + CCS (MT),,share_of_energy_chp_supercritical_ccs_mt_waste_mix,
745,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste incinerator + CCS,,share_of_energy_power_supercritical_ccs_waste_mix,
746,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass power plant + CCS (must-run),,share_of_energy_power_wood_pellets_ccs_must_run,
747,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass power plant + CCS (dispatchable),,share_of_energy_power_wood_pellets_ccs_dispatchable,
748,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (MT) (must-run),,share_of_energy_chp_local_mt_wood_pellets_ccs_must_run,
749,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (MT) (dispatchable),,share_of_energy_chp_local_mt_wood_pellets_ccs_dispatchable,
750,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (HT) (must-run),,share_of_energy_chp_local_ht_wood_pellets_ccs_must_run,
751,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (HT) (dispatchable),,share_of_energy_chp_local_ht_wood_pellets_ccs_dispatchable,
752,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Steam methane reforming (must-run) + CCS,,share_of_energy_hydrogen_steam_methane_reformer_ccs_must_run,
