input,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9
buildings_cooling_heatpump_surface_water_water_ts_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_airconditioning_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_lighting_standard_fluorescent_electricity_share,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
buildings_lighting_efficient_fluorescent_electricity_share,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
buildings_lighting_led_electricity_share,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
buildings_lighting_savings_from_motion_detection_light,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
buildings_lighting_savings_from_daylight_control_light,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
transport_trams_share,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
transport_busses_share,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
transport_motorcycles_share,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
transport_bicycles_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_planes_share,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
transport_car_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_car_using_diesel_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_car_using_lpg_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_car_using_compressed_natural_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_passenger_train_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_passenger_train_using_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_bus_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_bus_using_gasoline_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_bus_using_lng_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_bus_using_compressed_natural_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_motorcycle_using_gasoline_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_motorcycle_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_bicycle_using_human_power_share,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
transport_bicycle_using_electricity_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
transport_plane_using_kerosene_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
transport_plane_using_gasoline_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_plane_using_bio_ethanol_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_plane_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_plane_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_useful_demand_freight_tonne_kms,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transport_trucks_share,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
transport_freight_trains_share,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
transport_vans_share,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
transport_ships_share,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
transport_truck_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_truck_using_gasoline_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_truck_using_lng_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_truck_using_compressed_natural_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_van_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_van_using_gasoline_mix_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_van_using_lpg_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_van_using_compressed_natural_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_freight_train_using_electricity_share,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
transport_freight_train_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_freight_train_using_diesel_mix_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
transport_ship_using_diesel_mix_share,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
transport_ship_using_lng_mix_share,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
transport_ship_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_ship_using_electricity_share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transport_ship_using_ammonia_share,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
bunkers_allocated_percentage_aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_allocated_percentage_shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_useful_demand_planes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_useful_demand_ships,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_aviation_using_kerosene_mix_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bunkers_aviation_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_aviation_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_heavy_fuel_oil_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bunkers_ship_using_lng_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_ammonia_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_steel_production,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_steel_blastfurnace_bof_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_steel_dri_network_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_steel_dri_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_steel_cyclonefurnace_bof_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_steel_scrap_hbi_eaf_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_aluminium_production,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_aluminium_electrolysis_current_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aluminium_electrolysis_bat_electricity_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_aluminium_carbothermalreduction_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_aluminium_smeltoven_electricity_share,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
industry_other_metals_production,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_other_metals_process_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_other_metals_process_heat_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_chemical_refineries,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
industry_useful_demand_for_chemical_refineries_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_chemical_refineries_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_chemicals_refineries_burner_network_gas_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_chemicals_refineries_burner_crude_oil_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_chemicals_refineries_burner_wood_pellets_share,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
industry_chemicals_refineries_burner_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_refineries_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_useful_demand_for_chemical_fertilizers,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_chemicals_fertilizers_local_ammonia_local_hydrogen_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_chemicals_fertilizers_local_ammonia_central_hydrogen_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_chemicals_fertilizers_steam_methane_reformer_hydrogen_share,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
industry_useful_demand_for_chemical_fertilizers_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_chemical_fertilizers_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_chemicals_fertilizers_burner_network_gas_share,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
industry_chemicals_fertilizers_burner_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_fertilizers_burner_wood_pellets_share,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
industry_chemicals_fertilizers_burner_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_fertilizers_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_useful_demand_for_chemical_other,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_useful_demand_for_chemical_other_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_chemical_other_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_chemicals_other_burner_network_gas_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_burner_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_other_burner_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_other_burner_wood_pellets_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_other_heater_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_other_steam_recompression_electricity_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_heatpump_water_water_electricity_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
capacity_of_industry_chemicals_other_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_chemicals_other_wood_pellets_non_energetic_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_hydrogen_non_energetic_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_network_gas_non_energetic_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_crude_oil_non_energetic_share,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
industry_chemicals_other_coal_non_energetic_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_useful_demand_for_other_ict,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
industry_useful_demand_for_other_ict_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_other_food,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2
industry_useful_demand_for_other_food_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_other_food_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_other_food_burner_network_gas_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_other_food_burner_crude_oil_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_food_burner_coal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_food_burner_wood_pellets_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
industry_other_food_burner_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_other_food_heater_electricity_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
capacity_of_industry_other_food_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry_useful_demand_for_other_paper,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
industry_useful_demand_for_other_paper_electricity_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_useful_demand_for_other_paper_useable_heat_efficiency,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
industry_other_paper_burner_network_gas_share,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3
